id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,region_almacen,stock_status,is_active,last_updated_at,created_by_id,record_sequence_number,categoria_producto,subcategoria_producto,anio,mes,vacaciones_o_no,es_feriado,temporada_alta
1,2024-01-01,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,380,27,353,80,180,500,0,22.0,2023-12-25,2023-12-31,0.7,266.0,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-01,503,3,Snacks,Barras de Cereal,2024,1,False,True,True
2,2024-01-02,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,358,36,322,80,180,500,0,20.0,2024-01-01,2023-12-30,0.7,250.6,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-02,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
3,2024-01-03,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,438,11,427,80,180,500,0,20.0,2024-01-01,2023-12-31,0.7,306.6,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-03,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
4,2024-01-04,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,419,28,391,80,180,500,0,20.0,2023-12-29,2024-01-03,0.7,293.3,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-04,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
5,2024-01-05,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,398,21,377,80,180,500,0,20.0,2023-12-29,2024-01-03,0.7,278.6,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-05,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
6,2024-01-06,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,375,38,337,80,180,500,0,22.0,2023-12-28,2024-01-04,0.7,262.5,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-06,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
7,2024-01-07,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,357,37,320,80,180,500,0,22.0,2024-01-05,2024-01-05,0.7,249.9,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-07,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
8,2024-01-08,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,441,15,426,80,180,500,0,20.0,2024-01-01,2024-01-07,0.7,308.7,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-08,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
9,2024-01-09,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,423,33,390,80,180,500,0,20.0,2023-12-31,2024-01-06,0.7,296.1,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-09,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
10,2024-01-10,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,406,19,387,80,180,500,0,20.0,2024-01-06,2024-01-07,0.7,284.2,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-10,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
