product_sku,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,region_almacen,is_active,anio,mes,vacaciones_o_no,es_feriado,temporada_alta,semana_del_anio,dia_del_mes,dia_de_la_semana,es_fin_de_semana,trimestre,lag_1,lag_7,lag_30,media_movil_7d,media_movil_30d,media_movil_exponencial,std_movil_30d,variacion_stock_diaria,tendencia_stock,dias_desde_ultimo_pedido,ratio_reservado_disponible,anomalia_stock,rotacion_estimada_30d,estacion_Otoño,estacion_Primavera,estacion_Verano
BCA-115,3,974,19,955,70,150,400,0,10.0,0.9,876.6,Sur,1,2024,1,0,0,1,5,31,2,0,1,972.0,782.0,351.0,949.7142857142857,693.8333333333334,934.9440275428674,211.20999247085868,-17.0,255.8809523809523,3,0.019895287958115182,1.236526092403988,0.43238049483545515,False,False,False
BCA-115,3,1042,12,1030,70,150,400,0,10.0,0.9,937.8,Sur,1,2024,2,0,0,0,5,1,3,0,1,955.0,856.0,342.0,974.5714285714286,716.7666666666667,958.7080206571505,209.03088096116863,75.0,257.8047619047619,8,0.011650485436893204,1.498502670481125,0.41854624936055435,False,False,False
BCA-115,3,1033,24,1009,70,150,400,0,10.0,0.9,929.7,Sur,1,2024,2,0,0,0,5,2,4,0,1,1030.0,926.0,333.0,986.4285714285714,739.3,971.2810154928629,202.57091563713908,-21.0,247.1285714285715,9,0.023785926660059464,1.3313855997131783,0.40578926011091576,False,False,False
BCA-115,3,1023,24,999,70,150,400,0,11.0,0.9,920.7,Sur,1,2024,2,0,0,0,5,3,5,1,1,1009.0,988.0,324.0,988.0,761.8,978.2107616196472,192.06651146825718,-10.0,226.20000000000005,5,0.024024024024024024,1.234988849366393,0.43318456287739565,False,False,False
BCA-115,3,1012,14,998,70,150,400,0,11.0,0.9,910.8,Sur,1,2024,2,0,0,0,5,4,6,1,1,999.0,977.0,319.0,991.0,784.4333333333333,983.1580712147354,177.5452702510143,-1.0,206.56666666666672,1,0.014028056112224449,1.202885699882206,0.42068584540857523,False,False,False
BCA-115,3,1003,11,992,70,150,400,0,10.0,0.9,902.7,Sur,1,2024,2,0,0,0,6,5,0,0,1,998.0,974.0,392.0,993.5714285714286,804.4333333333333,985.3685534110516,165.17778996841713,-6.0,189.13809523809527,1,0.011088709677419355,1.1355441110002165,0.37293332780839517,False,False,False
BCA-115,3,993,24,969,70,150,400,0,10.0,0.9,893.7,Sur,1,2024,2,0,0,0,6,6,1,0,1,992.0,972.0,456.0,993.1428571428571,821.5333333333333,981.2764150582886,154.04113497494026,-23.0,171.6095238095238,6,0.02476780185758514,0.9573200476006418,0.36517081879412483,False,False,False
BCA-115,3,1061,18,1043,70,150,400,0,10.0,0.9,954.9,Sur,1,2024,2,0,0,0,6,7,2,0,1,969.0,955.0,528.0,1005.7142857142857,838.7,996.7073112937164,148.80863666073802,74.0,167.01428571428562,2,0.01725790987535954,1.3729041847602848,0.3576964349588649,False,False,False
BCA-115,3,1054,24,1030,70,150,400,0,10.0,0.9,948.6,Sur,1,2024,2,0,0,0,6,8,3,0,1,1043.0,1030.0,515.0,1005.7142857142857,855.8666666666667,1005.0304834702873,139.5991140504771,-13.0,149.847619047619,4,0.02330097087378641,1.2473813642568614,0.3505218881445708,False,False,False
BCA-115,3,1045,23,1022,70,150,400,0,10.0,0.9,940.5,Sur,1,2024,2,0,0,0,6,9,4,0,1,1030.0,1009.0,595.0,1007.5714285714286,870.1,1009.2728626027155,133.72910084866743,-8.0,137.47142857142853,3,0.022504892367906065,1.1358784216450792,0.3447879554074244,False,False,False
